portal_dataset_id,variable_name,display_name,units,entity_type,db_provider_dataset,realm,dataset_match_class,measurement_type_match,var_note
/euphausiid/save.php?mode=save,Krill (Euphausiids),Krill (Euphausiids),"",scientific_dataset,cce-lter_euphausiids,bio,matching,,taxon (build-time species match)
555783,Genomics of microbial/plankton assemblage (ASVs) - 16S,Genomics of microbial/plankton assemblage (ASVs) - 16S,"",scientific_dataset,,omics,missing,,no DB dataset (missing/omics)
CAC_FI_SBAS_obs,behavior,behavior,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_obs,count,count,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,count,measurement_type (source_column/name)
CAC_FI_SBAS_obs,gis_key,gis_key,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_obs,idnum,idnum,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_obs,species,species,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_sp,common_name,common_name,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_sp,scientific_name,scientific_name,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_sp,species,Species,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
CAC_FI_SBAS_sp,type,type,"",scientific_variable,calcofi_bird_mammal_census,bio,partial,,taxon (build-time species match)
bb9217084g,Mesopelagic Fish,Mesopelagic Fish,"",scientific_dataset,,bio,missing,,taxon (build-time species match)
ctd-cast-files/,CTD cast data (SIO),CTD cast data (SIO),"",scientific_dataset,calcofi_ctd-cast,env,matching,,unmatched
datazoo/catalogs/ccelter/datasets/159,Heterotrophic bacteria & picoautotrophs,Heterotrophic bacteria & picoautotrophs,"",scientific_dataset,,bio,missing,,taxon (build-time species match)
datazoo/catalogs/ccelter/datasets/254,Phytoplankton community (visual estimates),Phytoplankton community (visual estimates),"",scientific_dataset,calcofi_phytoplankton,bio,matching,,taxon (build-time species match)
erdCalCOFINOAAhydros,cruise,Cruise,"",scientific_variable,calcofi_ctd-cast,env,matching,,unmatched
